dealerCode,dealerName,dealerAddress,dealerCity,dealerState,dealerZip,dealerRadius,latitude,longitude,Rating,LifeTimeReviews,Recommended
M5580603,MINI of Murray,4767 South State Street,Murray,UT,84107-3838,NULL,40.667812,-111.888192,4.9,90,91
M5680201,Roadshow MINI,405 N Germantown Pkwy,Cordova,TN,38018-6207,NULL,35.135948,-89.79615,2.8,9,75
M6110001,MINI of Omaha,702 N 102nd St,Omaha,NE,68114-2150,NULL,41.265584,-96.071735,0,1,NULL
M6376603,MINI of Madison,310 W Beltline Highway,Madison,WI,53713-2609,NULL,43.036641,-89.390531,4.9,176,100
M6577502,MINI of Manhattan,67 Wall St,New York,NY,10005-3101,NULL,40.705744,-74.008363,4.5,126,93
M6577503,MINI of Manhattan,793 11th Ave,New York,NY,10019-3504,NULL,40.769162,-73.992375,4.6,121,NULL
M6673001,TOWNE MINI,8215 Main St,WILLIAMSVILLE,NY,14221,50,42.965017,-78.687841,3,5,98
M6678804,Hendrick MINI,7036 E Independence Boulevard,Charlotte,NC,28227-9419,NULL,35.164962,-80.74148,0,1,NULL
M6760002,Otto's MINI,305 W Lincoln Hwy,Exton,PA,19341-2626,NULL,40.024825,-75.646447,4.8,99,100
M7578401,Lauderdale MINI,1440 S Federal Hwy,Fort Lauderdale,FL,33316-2675,NULL,26.103512,-80.136773,5,55,100
M7650401,Brian Harris MINI,12336 Airline Hwy,Baton Rouge,LA,70817-4413,NULL,30.385924,-91.042573,1.8,18,8
M7673101,MINI of Hawaii,777 Kapiolani Blvd,Honolulu,HI,96813-5211,NULL,21.30046,-157.853868,0,0,NULL
M8671604,Patrick MINI,690 E Golf Rd,Schaumburg,IL,60173-4510,NULL,42.050006,-88.063432,4.3,43,88
M8686202,MINI of Grand Rapids,1010 28th St SE,Grand Rapids,MI,49508-1310,NULL,42.91273,-85.639084,4.8,217,NULL
M9625503,Orlando MINI,350 S Lake Destiny Rd,Orlando,FL,32810-6225,NULL,28.616436,-81.388589,4.7,48,90
M9649901,Classic MINI,2571 SOM Center Road,Willoughby Hills,OH,44094-9610,NULL,41.598729,-81.440143,0,1,NULL
M9660301,South Motors MINI,16215 S Dixie Hwy,Miami,FL,33157-3439,NULL,25.61965,-80.345245,5,5,100
M9671701,Cincinnati MINI,6131 Stewart Ave,Cincinnati,OH,45227-1233,NULL,39.179484,-84.395529,4.9,90,100
AD1513MAZ,LESTER GLENN MAZDA,1401 Route 9,TOMS RIVER,NJ,8755,30,39.995901,-74.21169,4.7,377,NULL
AD1514CHV,LESTER GLENN CHEVROLET,1401 Route 9,TOMS RIVER,NJ,8755,30,39.995901,-74.21169,4.9,443,NULL
3974101,BMW of Lynchburg,2643 Lakeside Dr,Lynchburg,VA,24501-6944,NULL,37.395673,-79.229749,2.9,13,NULL
NJ055,PHILLIPSBURG EASTON HYUNDAI,164 STATE ROUTE 173,STEWARTSVILLE,NJ,8886,25,40.667672,-75.129632,4.9,194,99
GA070,NALLEY HYUNDAI,945 IRIS DRIVE SE,CONYERS,GA,30094,40,33.656868,-84.017481,4.9,154,99
MN016,LUTHER BURNSVILLE HYUNDAI,14700 Buck Hill Road,BURNSVILLE,MN,55306,15,44.734554,-93.284819,4.8,266,99
AD1637CRY,DICK HANNAH CHRYSLER,P.O. Box 1679,VANCOUVER,WA,98668,50,45.640611,-122.623331,4.4,122,NULL
AD1638JEP,DICK HANNAH JEEP,P.O. Box 1679,VANCOUVER,WA,98668,50,45.640611,-122.623331,4.4,200,NULL
AD1639DGE,DICK HANNAH DODGE,P.O. Box 1679,VANCOUVER,WA,98668,50,45.640611,-122.623331,4.6,272,NULL
AD1640RAM,DICK HANNAH RAM,P.O. Box 1679,VANCOUVER,WA,98668,50,45.640611,-122.623331,4.6,272,NULL
AD1641TOY,TOYOTA WORLD OF LAKEWOOD,1118 route 88,LAKEWOOD,NJ,8701,20,40.083622,-74.173169,4.8,422,NULL
3931401,Murray BMW of Denver,900 S Colorado Blvd,Denver,CO,80246-2529,NULL,39.699232,-104.940628,4.3,194,NULL
3931402,Murray BMW of Denver CCRC,2201 S Wabash St,Denver,CO,80231-3313,NULL,39.675696,-104.889363,4.5,229,88
3945001,BMW of Champaign,100 Burwash Ave,Savoy,IL,61874-9682,NULL,40.074219,-88.249147,3.8,3,67
3979701,BMW of Orland Park,11030 W 159th St,Orland Park,IL,60467-4413,NULL,41.600753,-87.887926,4.1,116,NULL
